an, 0.36143, 0.58615, -0.23718, 0.079656, 0.80192, 0.49919, -0.33172, -0.19785, 0.13876, 0.16804, 0.12557, -0.24494, -0.092315, 0.35135, -0.024396, -0.31713, 0.071206, 0.37087, -0.82027, 0.21193, -0.052153, 0.29928, -0.49494, -0.12546, -0.012394, -2.2174, -0.082666, 0.15184, 0.050396, 0.61229, 3.7305, -0.93152, -0.28716, -0.48056, 0.060682, 0.058104, 0.42065, -0.046598, 0.083503, -0.23819, 0.38828, 0.36926, -0.44066, 0.075673, -0.050556, -0.42269, -0.21577, 0.39362, 0.36523, 0.0, 
his, -0.033537, 0.47537, -0.68746, -0.72661, 0.84028, 0.64304, -0.75975, 0.63242, -0.54176, 0.11632, -0.20254, 0.63321, -1.2677, -0.17674, 0.35284, -0.55096, -0.65025, -0.3405, -0.31658, -0.077908, -0.11085, 0.97299, -0.016844, -0.73752, 0.47852, -2.7069, -0.42417, -0.053489, 0.018467, -0.11892, 3.3082, 0.17864, -0.50702, -0.22894, 0.24178, 0.5698, 0.097113, 0.95422, 0.0076093, -0.54154, 0.09828, 0.41533, -1.116, 0.0050954, -0.14975, -0.45133, -0.081188, -0.62173, -0.022628, 0.0, 
another, 0.50759, 0.26321, 0.19638, 0.18407, 0.90792, 0.45267, -0.54491, 0.41816, 0.039569, 0.061854, -0.24574, -0.38502, -0.39649, 0.32165, 0.59611, -0.3997, -0.015734, 0.074218, -0.83148, -0.019284, -0.21331, 0.12873, -0.2541, 0.079348, 0.12588, -2.1294, -0.29092, 0.044597, 0.27354, -0.037492, 3.458, -0.34642, -0.32803, 0.17566, 0.22467, 0.08987, 0.24528, 0.070129, 0.2165, -0.44313, 0.02516, 0.40817, -0.33533, 0.0067758, 0.11499, -0.15701, -0.085219, 0.018568, 0.26125, 0.0, 
one, 0.31474, 0.41662, 0.1348, 0.15854, 0.88812, 0.43317, -0.55916, 0.030476, -0.14623, -0.14273, -0.17949, -0.17343, -0.49264, 0.26775, 0.48799, -0.29537, 0.18485, 0.14937, -0.75009, -0.35651, -0.23699, 0.1849, 0.17237, 0.23611, 0.14077, -1.9031, -0.65353, -0.022539, 0.10383, -0.43705, 3.781, -0.044077, -0.046643, 0.027274, 0.51883, 0.13353, 0.23231, 0.25599, 0.060888, -0.065618, -0.15556, 0.30818, -0.093586, 0.33296, -0.14613, 0.016332, -0.24251, -0.20526, 0.07009, 0.0, 
is, 0.6185, 0.64254, -0.46552, 0.3757, 0.74838, 0.53739, 0.0022239, -0.60577, 0.26408, 0.11703, 0.43722, 0.20092, -0.057859, -0.34589, 0.21664, 0.58573, 0.53919, 0.6949, -0.15618, 0.05583, -0.60515, -0.28997, -0.025594, 0.55593, 0.25356, -1.9612, -0.51381, 0.69096, 0.066246, -0.054224, 3.7871, -0.77403, -0.12689, -0.51465, 0.066705, -0.32933, 0.13483, 0.19049, 0.13812, -0.21503, -0.016573, 0.312, -0.33189, -0.026001, -0.38203, 0.19403, -0.12466, -0.27557, 0.30899, 0.0, 
the, 0.418, 0.24968, -0.41242, 0.1217, 0.34527, -0.044457, -0.49688, -0.17862, -6.6023E-4, -0.6566, 0.27843, -0.14767, -0.55677, 0.14658, -0.0095095, 0.011658, 0.10204, -0.12792, -0.8443, -0.12181, -0.016801, -0.33279, -0.1552, -0.23131, -0.19181, -1.8823, -0.76746, 0.099051, -0.42125, -0.19526, 4.0071, -0.18594, -0.52287, -0.31681, 5.9213E-4, 0.0074449, 0.17778, -0.15897, 0.012041, -0.054223, -0.29871, -0.15749, -0.34758, -0.045637, -0.44251, 0.18785, 0.0027849, -0.18411, -0.11514, 0.0, 
it, 0.61183, -0.22072, -0.10898, -0.052967, 0.50804, 0.34684, -0.33558, -0.19152, -0.035865, 0.1051, 0.07935, 0.2449, -0.4373, -0.33344, 0.57479, 0.69052, 0.29713, 0.090669, -0.54992, -0.46176, 0.10113, -0.02024, 0.28479, 0.043512, 0.45735, -2.0466, -0.58084, 0.61797, 0.6518, -0.58263, 4.0786, -0.2542, -0.14649, -0.34321, -0.25437, -0.44677, 0.12657, 0.28134, 0.13331, -0.36974, 0.050059, -0.10058, -0.017907, 0.11142, -0.71798, 0.491, -0.099974, -0.043688, -0.097922, 0.0, 
man, -0.094386, 0.43007, -0.17224, -0.45529, 1.6447, 0.40335, -0.37263, 0.25071, -0.10588, 0.10778, -0.10848, 0.15181, -0.65396, 0.55054, 0.59591, -0.46278, 0.11847, 0.64448, -0.70948, 0.23947, -0.82905, 1.272, 0.033021, 0.2935, 0.3911, -2.8094, -0.70745, 0.4106, 0.3894, -0.2913, 2.6124, -0.34576, -0.16832, 0.25154, 0.31216, 0.31639, 0.12539, -0.012646, 0.22297, -0.56585, -0.086264, 0.62549, -0.0576, 0.29375, 0.66005, -0.53115, -0.48233, -0.97925, 0.53135, 0.0, 
its, 0.76719, 0.1239, -0.11119, 0.13355, 0.18356, 0.057912, -0.3341, -0.60423, 0.47637, 0.25451, 0.19491, -0.061142, -0.45815, -0.17374, -0.32716, 0.33472, -0.3218, 0.090518, -0.24682, -0.35467, 0.55269, -0.33177, -0.58048, -0.55391, -0.64466, -1.8028, -0.65173, 0.4374, 0.051813, 0.22641, 4.2766, 0.19443, -0.13428, -0.10278, -0.062464, -0.39073, -0.29381, -0.013531, -0.58142, -0.69717, -0.068871, -0.50049, -0.013803, -0.11011, -0.64282, 0.4396, -0.22455, 0.4893, -0.26152, 0.0, 
s, 0.23727, 0.40478, -0.20547, 0.58805, 0.65533, 0.32867, -0.81964, -0.23236, 0.27428, 0.24265, 0.054992, 0.16296, -1.2555, -0.086437, 0.44536, 0.096561, -0.16519, 0.058378, -0.38598, 0.086977, 0.0033869, 0.55095, -0.77697, -0.62096, 0.092948, -2.5685, -0.67739, 0.10151, -0.48643, -0.057805, 3.1859, -0.017554, -0.16138, 0.055486, -0.25885, -0.33938, -0.19928, 0.26049, 0.10478, -0.55934, -0.12342, 0.65961, -0.51802, -0.82995, -0.082739, 0.28155, -0.423, -0.27378, -0.007901, 0.0, 
